year,GP name,date,start,finish,statusId,team,driverRef,dob,circuit name,location,country,driver home,team home
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,16,16,1,Haas F1 Team,ocon,1996-09-17,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,16,16,1,Haas F1 Team,ocon,1996-09-17,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,14,17,1,Haas F1 Team,bearman,2005-05-08,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,14,17,1,Haas F1 Team,bearman,2005-05-08,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,6,18,3,Mercedes,antonelli,,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,6,18,3,Mercedes,antonelli,,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,11,19,3,Williams,albon,1996-03-23,Montjuïc,Barcelona,SPA,0,0
2025,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,11,19,3,Williams,albon,1996-03-23,Circuit de Pedralbes,Barcelona,SPA,0,0
2025,Canadian Grand Prix,2025-06-15,1,1,1,Mercedes,russell,1998-02-15,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,2,2,1,Red Bull,max_verstappen,1997-09-30,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,4,3,1,Mercedes,antonelli,,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,3,4,1,McLaren,piastri,2001-04-06,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,8,5,1,Ferrari,leclerc,1997-10-16,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,5,6,1,Ferrari,hamilton,1985-01-07,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,6,7,1,Aston Martin,alonso,1981-07-29,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,11,8,1,Sauber,hulkenberg,1987-08-19,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,14,9,1,Haas F1 Team,ocon,1996-09-17,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,16,10,1,Williams,sainz,1994-09-01,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,13,11,1,Haas F1 Team,bearman,2005-05-08,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,18,12,1,Red Bull,tsunoda,2000-05-11,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,10,13,1,Alpine,colapinto,2003-05-27,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,15,14,1,Sauber,bortoleto,,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,20,15,1,Alpine,gasly,1996-02-07,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,12,16,1,RB F1 Team,hadjar,,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,17,17,1,Aston Martin,stroll,1998-10-29,,Montréal,CAN,1,0
2025,Canadian Grand Prix,2025-06-15,7,18,3,McLaren,norris,1999-11-13,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,19,19,3,RB F1 Team,lawson,2002-02-11,,Montréal,CAN,0,0
2025,Canadian Grand Prix,2025-06-15,9,20,3,Williams,albon,1996-03-23,,Montréal,CAN,0,0
2025,Austrian Grand Prix,2025-06-29,1,1,1,McLaren,norris,1999-11-13,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,3,2,1,McLaren,piastri,2001-04-06,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,2,3,1,Ferrari,leclerc,1997-10-16,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,4,4,1,Ferrari,hamilton,1985-01-07,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,5,5,1,Mercedes,russell,1998-02-15,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,6,6,1,RB F1 Team,lawson,2002-02-11,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,11,7,1,Aston Martin,alonso,1981-07-29,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,8,8,1,Sauber,bortoleto,,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,20,9,1,Sauber,hulkenberg,1987-08-19,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,17,10,1,Haas F1 Team,ocon,1996-09-17,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,15,11,1,Haas F1 Team,bearman,2005-05-08,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,13,12,1,RB F1 Team,hadjar,,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,10,13,1,Alpine,gasly,1996-02-07,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,16,14,1,Aston Martin,stroll,1998-10-29,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,14,15,1,Alpine,colapinto,2003-05-27,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,18,16,1,Red Bull,tsunoda,2000-05-11,Red Bull Ring,Spielberg,AUT,0,1
2025,Austrian Grand Prix,2025-06-29,12,17,3,Williams,albon,1996-03-23,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,7,18,3,Red Bull,max_verstappen,1997-09-30,Red Bull Ring,Spielberg,AUT,0,1
2025,Austrian Grand Prix,2025-06-29,9,19,3,Mercedes,antonelli,,Red Bull Ring,Spielberg,AUT,0,0
2025,Austrian Grand Prix,2025-06-29,19,20,3,Williams,sainz,1994-09-01,Red Bull Ring,Spielberg,AUT,0,0
